SubjTrial,SubjectID,ExpNum,ItemNum,Response,TargetWord,TrialType,Syllogism,MiddleSyllogismPairing,ListNum,premise1,premise2,conclusion,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_17,1,M1-cross,17,0,board,Homonymy,Datisi,2,2,All boards are wooden planks,Some boards are governing organizations,Some governing organizations are wooden planks,NA,36546,Datisi,0,1,0,0
1_18,1,M1-cross,18,0,cabinet,Homonymy,Darii,2,2,All cabinets are political appointments,Some shelving units are cabinets,Some shelving units are political appointments,NA,32895,Darii,0,1,0,0
1_19,1,M1-cross,19,0,change,Homonymy,Disamis,2,2,Some change is transformation,All change is money,Some money is transformation,NA,15081,Disamis,0,1,0,0
1_20,1,M1-cross,20,1,doughnuts,Valid Filler,Disamis,2,2,Some doughnuts are glazed,All doughnuts are sugary foods,Some sugary foods are glazed,NA,8219,Disamis,1,1,0,0
1_21,1,M1-cross,21,0,toilets,Invalid Filler,Dimatis*,2,2,Some seats are toilets ,All urinals are toilets,Some urinals are seats,NA,6240,Dimatis,0,1,0,0
1_22,1,M1-cross,22,0,dinner,Polysemy,Dimatis,2,2,Some black tie events are dinners,All dinners are foods,Some foods are black tie events,NA,7884,Dimatis,0,1,0,0
1_23,1,M1-cross,23,1,trucks,Valid Filler,Datisi,2,2,All trucks are vehicles,Some trucks are big rigs,Some big rigs are vehicles,NA,7189,Datisi,1,1,0,0
1_24,1,M1-cross,24,1,clowns,Valid Filler,Disamis,2,2,Some clowns are mimes,All clowns are entertainers,Some entertainers are mimes,NA,7110,Disamis,1,1,0,0
1_25,1,M1-cross,25,0,sausages,Invalid Filler,Darii*,2,2,All chili dogs are sausages,Some pizza toppings are sausages,Some pizza toppings are chili dogs,NA,8531,Darii,0,1,0,0
1_26,1,M1-cross,26,0,college,Polysemy,Disamis,2,2,Some colleges have chancellors,All colleges are groups of buildings,Some groups of buildings have chancellors,NA,35188,Disamis,0,1,0,0
1_27,1,M1-cross,27,1,magazines,Polysemy,Dimatis,2,2,Some recyclables are magazines,All magazines are subscriptions,Some subscriptions are recyclables,NA,6237,Dimatis,0,0,0,0
1_28,1,M1-cross,28,1,dolls,Valid Filler,Disamis,2,2,Some dolls are toys,All dolls are man made objects,Some man made objects are toys,NA,8202,Disamis,1,1,0,0
1_29,1,M1-cross,29,0,wave,Homonymy,Datisi,2,2,All waves are water,Some waves are gestures,Some gestures are water,NA,7014,Datisi,0,1,0,0
1_30,1,M1-cross,30,0,injuries,Invalid Filler,Datisi*,2,2,All broken bones are injuries,Some injuries are sunburns,Some sunburns are broken bones,NA,11829,Datisi,0,1,0,0
1_31,1,M1-cross,31,1,burgers,Valid Filler,Dimatis,2,2,Some entrées are burgers,All burgers are sandwiches,Some sandwiches are entrées,NA,7538,Dimatis,1,1,0,0
1_32,1,M1-cross,32,0,colors,Invalid Filler,Dimatis*,2,2,Some pastels are colors,All shade of neon green are colors ,Some shades of neon green are pastels,NA,6746,Dimatis,0,1,0,0
1_33,1,M1-cross,33,1,poets,Valid Filler,Darii,2,2,All poets are writers ,Some teachers are poets,Some teachers are writers,NA,7970,Darii,1,1,0,0
1_34,1,M1-cross,34,0,stones,Invalid Filler,Darii*,2,2,All boulders are stones,Some paperweights are stones,Some paperweights are boulders,NA,6925,Darii,0,1,0,0
1_35,1,M1-cross,35,1,ponies,Valid Filler,Darii,2,2,All ponies neigh,Some thoroughbreds are ponies,Some thoroughbreds neigh,NA,7797,Darii,1,1,0,0
1_36,1,M1-cross,36,1,singers,Valid Filler,Disamis,2,2,Some singers are guitarists,All singers are vocalists,Some vocalists are guitarists,NA,6535,Disamis,1,1,0,0
1_37,1,M1-cross,37,0,match,Homonymy,Dimatis,2,2,Some pay-per-view broadcasts are matches,All matches are fire starters,Some fire starters are pay-per-view broadcasts,NA,8140,Dimatis,0,1,0,0
1_38,1,M1-cross,38,0,funerals,Invalid Filler,Darii*,2,2,All anonymous burials are funerals,Some family gatherings are funerals,Some family gatherings are anonymous burials,NA,13615,Darii,0,1,0,0
1_39,1,M1-cross,39,1,mugs,Valid Filler,Darii,2,2,All mugs are cups ,Some ceramics are mugs,Some ceramics are cups ,NA,6095,Darii,1,1,0,0
1_40,1,M1-cross,40,1,swords,Valid Filler,Dimatis,2,2,Some sharp things are swords,All swords are weapons,Some weapons are sharp things,NA,6379,Dimatis,1,1,0,0
1_41,1,M1-cross,41,1,letter,Polysemy,Darii,2,2,All letters have stamps,Some rejections are letters,Some rejections have stamps,NA,6999,Darii,0,0,0,0
1_42,1,M1-cross,42,1,statues,Valid Filler,Darii,2,2,All statues are sculptures,Some artworks are statues,Some artworks are sculptures,NA,8188,Darii,1,1,0,0
1_43,1,M1-cross,43,0,suit,Homonymy,Dimatis,2,2,Some court proceedings are suits,All suits are formal outfits,Some formal outfits are court proceedings,NA,9900,Dimatis,0,1,0,0
1_44,1,M1-cross,44,0,ball,Homonymy,Datisi,2,2,All balls are toys,Some balls are senior proms,Some senior proms are toys,NA,6702,Datisi,0,1,0,0
1_45,1,M1-cross,45,0,actors,Invalid Filler,Darii*,2,2,All male leads are actors,Some women are actors,Some women are male leads,NA,6864,Darii,0,1,0,0
1_46,1,M1-cross,46,1,book,Polysemy,Datisi,2,2,All books are printed,Some books are romances,Some romances are printed,NA,8520,Datisi,0,0,0,0
1_47,1,M1-cross,47,1,widows,Valid Filler,Datisi,2,2,All widows are women,Some widows are parents,Some parents are women,NA,8824,Datisi,1,1,0,0
1_48,1,M1-cross,48,0,school,Polysemy,Dimatis,2,2,Some rectangular buildings are schools,All schools are employers,Some employers are rectangular buildings,NA,11649,Dimatis,0,1,0,0
1_49,1,M1-cross,49,0,rock,Homonymy,Darii,2,2,All rock has guitars,Some marble is rock,Some marble has guitars,NA,10209,Darii,0,1,0,0
1_50,1,M1-cross,50,0,spices,Invalid Filler,Datisi*,2,2,All mustard seeds are spices ,Some spices are dried roots ,Some dried roots are mustard seeds,NA,17077,Datisi,0,1,0,0
1_51,1,M1-cross,51,0,peppers,Invalid Filler,Datisi*,2,2,All jalapenos are peppers,Some peppers are yellow vegetables ,Some yellow vegetables are jalapenos,NA,16571,Datisi,0,1,0,0
1_52,1,M1-cross,52,1,rifles,Valid Filler,Dimatis,2,2,Some safety hazards are rifles,All rifles are guns,Some guns are safety hazards,NA,8242,Dimatis,1,1,0,0
1_53,1,M1-cross,53,0,star,Homonymy,Darii,2,2,All stars have autographs,Some red dwarfs are stars,Some red dwarfs have autographs,NA,7031,Darii,0,1,0,0
1_54,1,M1-cross,54,0,dresses,Invalid Filler,Disamis*,2,2,Some dresses are cocktail outfits,All ball gowns are dresses ,Some ball gowns are cocktail outfits,NA,11545,Disamis,0,1,0,0
1_55,1,M1-cross,55,0,antiques,Invalid Filler,Disamis*,2,2,Some antiques are pieces of jewelry,All medieval manuscripts are antiques ,Some medieval manuscripts are pieces of jewelry,NA,7554,Disamis,0,1,0,0
1_56,1,M1-cross,56,0,company,Polysemy,Datisi,2,2,All companies are buildings,Some companies are hierarchies,Some hierarchies are buildings,NA,10198,Datisi,0,1,0,0
2_1,2,M1-cross,1,1,novel,Polysemy,Disamis,2,2,Some novels weigh over a pound,All novels are stories,Some stories weigh over a pound,NA,14138,Disamis,0,0,0,0
2_2,2,M1-cross,2,1,thieves,Invalid Filler,Datisi*,2,2,All mob bosses are thieves,Some thieves are children,Some children are mob bosses,NA,12946,Datisi,0,0,0,0
2_3,2,M1-cross,3,1,steaks,Invalid Filler,Dimatis*,2,2,Some delicious entrées are steaks,All rotten ribeyes are steaks,Some rotten ribeyes are delicious entrées,NA,10636,Dimatis,0,0,0,0
2_4,2,M1-cross,4,0,dances,Invalid Filler,Disamis*,2,2,Some dances are mating rituals ,All ballets are dances,Some ballets are mating rituals ,NA,15027,Disamis,0,1,0,0
2_5,2,M1-cross,5,1,ring,Homonymy,Disamis,2,2,Some rings are made of gold,All rings are sounds,Some sounds are made of gold,NA,10599,Disamis,0,0,0,0
2_6,2,M1-cross,6,0,mothers,Invalid Filler,Disamis*,2,2,Some mothers are teens,All grandmas are mothers,Some grandmas are teens,NA,12337,Disamis,0,1,0,0
2_7,2,M1-cross,7,1,suitcases,Valid Filler,Datisi,2,2,All suitcases are pieces of luggage,Some suitcases are bags,Some bags are pieces of luggage,NA,7599,Datisi,1,1,0,0
2_8,2,M1-cross,8,1,shapes,Invalid Filler,Dimatis*,2,2,Some road signs are shapes,All cylinders are shapes,Some cylinders are road signs,NA,8297,Dimatis,0,0,0,0
2_9,2,M1-cross,9,1,picnic,Polysemy,Darii,2,2,All picnics happen in nature,Some salads are picnics,Some salads happen in nature,NA,113151,Darii,0,0,0,0
2_10,2,M1-cross,10,1,lunch,Polysemy,Datisi,2,2,All lunches are breaks,Some lunches are soups,Some soups are breaks,NA,6384,Datisi,0,0,0,0
2_11,2,M1-cross,11,0,bat,Homonymy,Disamis,2,2,Some bats are made for softball,All bats are animals,Some animals are made for softball,NA,14784,Disamis,0,1,0,0
2_12,2,M1-cross,12,1,ruler,Homonymy,Dimatis,2,2,Some queens are rulers,All rulers are standard lengths,Some standard lengths are queens,NA,12814,Dimatis,0,0,0,0
2_13,2,M1-cross,13,1,city,Polysemy,Darii,2,2,All cities are bureaucracies,Some graffitied places are cities,Some graffitied places are bureaucracies,NA,6443,Darii,0,0,0,0
2_14,2,M1-cross,14,1,breakfast,Polysemy,Disamis,2,2,Some breakfasts are under an hour,All breakfasts are nutrients,Some nutrients are under an hour,NA,8239,Disamis,0,0,0,0
2_15,2,M1-cross,15,1,grapes,Valid Filler,Dimatis,2,2,Some snacks are grapes,All grapes are fruits ,Some fruits are snacks,NA,5183,Dimatis,1,1,0,0
2_16,2,M1-cross,16,1,liars,Valid Filler,Datisi,2,2,All liars are humans,Some liars are criminals,Some criminals are humans,NA,11974,Datisi,1,1,0,0
2_17,2,M1-cross,17,1,board,Homonymy,Datisi,2,2,All boards are wooden planks,Some boards are governing organizations,Some governing organizations are wooden planks,NA,9090,Datisi,0,0,0,0
2_18,2,M1-cross,18,1,cabinet,Homonymy,Darii,2,2,All cabinets are political appointments,Some shelving units are cabinets,Some shelving units are political appointments,NA,6502,Darii,0,0,0,0
2_19,2,M1-cross,19,1,change,Homonymy,Disamis,2,2,Some change is transformation,All change is money,Some money is transformation,NA,8038,Disamis,0,0,0,0
2_20,2,M1-cross,20,1,doughnuts,Valid Filler,Disamis,2,2,Some doughnuts are glazed,All doughnuts are sugary foods,Some sugary foods are glazed,NA,5106,Disamis,1,1,0,0
2_21,2,M1-cross,21,1,toilets,Invalid Filler,Dimatis*,2,2,Some seats are toilets ,All urinals are toilets,Some urinals are seats,NA,5777,Dimatis,0,0,0,0
2_22,2,M1-cross,22,1,dinner,Polysemy,Dimatis,2,2,Some black tie events are dinners,All dinners are foods,Some foods are black tie events,NA,6567,Dimatis,0,0,0,0
2_23,2,M1-cross,23,1,trucks,Valid Filler,Datisi,2,2,All trucks are vehicles,Some trucks are big rigs,Some big rigs are vehicles,NA,5274,Datisi,1,1,0,0
2_24,2,M1-cross,24,1,clowns,Valid Filler,Disamis,2,2,Some clowns are mimes,All clowns are entertainers,Some entertainers are mimes,NA,5573,Disamis,1,1,0,0
2_25,2,M1-cross,25,1,sausages,Invalid Filler,Darii*,2,2,All chili dogs are sausages,Some pizza toppings are sausages,Some pizza toppings are chili dogs,NA,7497,Darii,0,0,0,0
2_26,2,M1-cross,26,1,college,Polysemy,Disamis,2,2,Some colleges have chancellors,All colleges are groups of buildings,Some groups of buildings have chancellors,NA,8206,Disamis,0,0,0,0
2_27,2,M1-cross,27,1,magazines,Polysemy,Dimatis,2,2,Some recyclables are magazines,All magazines are subscriptions,Some subscriptions are recyclables,NA,6167,Dimatis,0,0,0,0
2_28,2,M1-cross,28,1,dolls,Valid Filler,Disamis,2,2,Some dolls are toys,All dolls are man made objects,Some man made objects are toys,NA,9323,Disamis,1,1,0,0
2_29,2,M1-cross,29,1,wave,Homonymy,Datisi,2,2,All waves are water,Some waves are gestures,Some gestures are water,NA,6890,Datisi,0,0,0,0
2_30,2,M1-cross,30,0,injuries,Invalid Filler,Datisi*,2,2,All broken bones are injuries,Some injuries are sunburns,Some sunburns are broken bones,NA,5932,Datisi,0,1,0,0
2_31,2,M1-cross,31,1,burgers,Valid Filler,Dimatis,2,2,Some entrées are burgers,All burgers are sandwiches,Some sandwiches are entrées,NA,6379,Dimatis,1,1,0,0
2_32,2,M1-cross,32,1,colors,Invalid Filler,Dimatis*,2,2,Some pastels are colors,All shade of neon green are colors ,Some shades of neon green are pastels,NA,6880,Dimatis,0,0,0,0
2_33,2,M1-cross,33,1,poets,Valid Filler,Darii,2,2,All poets are writers ,Some teachers are poets,Some teachers are writers,NA,5614,Darii,1,1,0,0
2_34,2,M1-cross,34,0,stones,Invalid Filler,Darii*,2,2,All boulders are stones,Some paperweights are stones,Some paperweights are boulders,NA,6579,Darii,0,1,0,0
2_35,2,M1-cross,35,1,ponies,Valid Filler,Darii,2,2,All ponies neigh,Some thoroughbreds are ponies,Some thoroughbreds neigh,NA,6947,Darii,1,1,0,0
2_36,2,M1-cross,36,1,singers,Valid Filler,Disamis,2,2,Some singers are guitarists,All singers are vocalists,Some vocalists are guitarists,NA,6063,Disamis,1,1,0,0
2_37,2,M1-cross,37,0,match,Homonymy,Dimatis,2,2,Some pay-per-view broadcasts are matches,All matches are fire starters,Some fire starters are pay-per-view broadcasts,NA,9306,Dimatis,0,1,0,0
2_38,2,M1-cross,38,1,funerals,Invalid Filler,Darii*,2,2,All anonymous burials are funerals,Some family gatherings are funerals,Some family gatherings are anonymous burials,NA,10251,Darii,0,0,0,0
2_39,2,M1-cross,39,1,mugs,Valid Filler,Darii,2,2,All mugs are cups ,Some ceramics are mugs,Some ceramics are cups ,NA,32717,Darii,1,1,0,0
2_40,2,M1-cross,40,1,swords,Valid Filler,Dimatis,2,2,Some sharp things are swords,All swords are weapons,Some weapons are sharp things,NA,5267,Dimatis,1,1,0,0
2_41,2,M1-cross,41,1,letter,Polysemy,Darii,2,2,All letters have stamps,Some rejections are letters,Some rejections have stamps,NA,6449,Darii,0,0,0,0
2_42,2,M1-cross,42,1,statues,Valid Filler,Darii,2,2,All statues are sculptures,Some artworks are statues,Some artworks are sculptures,NA,7953,Darii,1,1,0,0
2_43,2,M1-cross,43,0,suit,Homonymy,Dimatis,2,2,Some court proceedings are suits,All suits are formal outfits,Some formal outfits are court proceedings,NA,5673,Dimatis,0,1,0,0
2_44,2,M1-cross,44,0,ball,Homonymy,Datisi,2,2,All balls are toys,Some balls are senior proms,Some senior proms are toys,NA,7245,Datisi,0,1,0,0
2_45,2,M1-cross,45,0,actors,Invalid Filler,Darii*,2,2,All male leads are actors,Some women are actors,Some women are male leads,NA,7550,Darii,0,1,0,0
2_46,2,M1-cross,46,1,book,Polysemy,Datisi,2,2,All books are printed,Some books are romances,Some romances are printed,NA,5251,Datisi,0,0,0,0
2_47,2,M1-cross,47,1,widows,Valid Filler,Datisi,2,2,All widows are women,Some widows are parents,Some parents are women,NA,6187,Datisi,1,1,0,0
2_48,2,M1-cross,48,1,school,Polysemy,Dimatis,2,2,Some rectangular buildings are schools,All schools are employers,Some employers are rectangular buildings,NA,13753,Dimatis,0,0,0,0
2_49,2,M1-cross,49,0,rock,Homonymy,Darii,2,2,All rock has guitars,Some marble is rock,Some marble has guitars,NA,7975,Darii,0,1,0,0
2_50,2,M1-cross,50,1,spices,Invalid Filler,Datisi*,2,2,All mustard seeds are spices ,Some spices are dried roots ,Some dried roots are mustard seeds,NA,6337,Datisi,0,0,0,0
2_51,2,M1-cross,51,1,peppers,Invalid Filler,Datisi*,2,2,All jalapenos are peppers,Some peppers are yellow vegetables ,Some yellow vegetables are jalapenos,NA,6175,Datisi,0,0,0,0
2_52,2,M1-cross,52,1,rifles,Valid Filler,Dimatis,2,2,Some safety hazards are rifles,All rifles are guns,Some guns are safety hazards,NA,5550,Dimatis,1,1,0,0
2_53,2,M1-cross,53,1,star,Homonymy,Darii,2,2,All stars have autographs,Some red dwarfs are stars,Some red dwarfs have autographs,NA,7691,Darii,0,0,0,0
2_54,2,M1-cross,54,0,dresses,Invalid Filler,Disamis*,2,2,Some dresses are cocktail outfits,All ball gowns are dresses ,Some ball gowns are cocktail outfits,NA,7039,Disamis,0,1,0,0
2_55,2,M1-cross,55,0,antiques,Invalid Filler,Disamis*,2,2,Some antiques are pieces of jewelry,All medieval manuscripts are antiques ,Some medieval manuscripts are pieces of jewelry,NA,7968,Disamis,0,1,0,0
2_56,2,M1-cross,56,1,company,Polysemy,Datisi,2,2,All companies are buildings,Some companies are hierarchies,Some hierarchies are buildings,NA,5675,Datisi,0,0,0,0
3_1,3,M1-cross,1,1,book,Polysemy,Disamis,4,2,Some books are doorstops,All books are pieces of intellectual property,Some pieces of intellectual property are doorstops,NA,19394,Disamis,0,0,0,0
3_2,3,M1-cross,2,0,mothers,Invalid Filler,Datisi*,4,2,All grandmas are mothers ,Some mothers are teens,Some teens are grandmas,NA,28291,Datisi,0,1,0,0
3_3,3,M1-cross,3,1,funerals,Invalid Filler,Dimatis*,4,2,Some family gatherings are funerals,All anonymous burials are funerals,Some anonymous burials are family gatherings,NA,20729,Dimatis,0,0,0,0
3_4,3,M1-cross,4,1,peppers,Invalid Filler,Disamis*,4,2,Some peppers are yellow vegetables ,All jalapenos are peppers,Some jalapenos are yellow vegetables,NA,23329,Disamis,0,0,0,0
3_5,3,M1-cross,5,1,ball,Homonymy,Disamis,4,2,Some balls are senior proms,All balls are toys,Some toys are senior proms,NA,13419,Disamis,0,0,0,0
3_6,3,M1-cross,6,1,thieves,Invalid Filler,Disamis*,4,2,Some thieves are children,All mob bosses are thieves,Some mob bosses are children,NA,22219,Disamis,0,0,0,0
3_7,3,M1-cross,7,1,clowns,Valid Filler,Datisi,4,2,All clowns are entertainers,Some clowns are mimes,Some mimes are entertainers,NA,16822,Datisi,1,1,0,0
3_8,3,M1-cross,8,1,stones,Invalid Filler,Dimatis*,4,2,Some paperweights are stones,All boulders are stones,Some boulders are paperweights,NA,47489,Dimatis,0,0,0,0
3_9,3,M1-cross,9,1,dinner,Polysemy,Darii,4,2,All dinners happen after four o'clock,Some lasagnas are dinners,Some lasagnas happen after four o'clock,NA,64528,Darii,0,0,0,0
3_10,3,M1-cross,10,1,breakfast,Polysemy,Datisi,4,2,All breakfasts are under three hours,Some breakfasts are smoothies,Some smoothies are under three hours,NA,10537,Datisi,0,0,0,0
3_11,3,M1-cross,11,0,board,Homonymy,Disamis,4,2,Some boards are governing organizations,All boards are wooden planks,Some wooden planks are governing organizations,NA,16931,Disamis,0,1,0,0
3_12,3,M1-cross,12,0,cabinet,Homonymy,Dimatis,4,2,Some shelving units are cabinets,All cabinets are political appointments,Some political appointments are shelving units,NA,7353,Dimatis,0,1,0,0
3_13,3,M1-cross,13,1,school,Polysemy,Darii,4,2,All schools have classrooms,Some employers are schools,Some employers have classrooms,NA,23569,Darii,0,0,0,0
3_14,3,M1-cross,14,1,lunch,Polysemy,Disamis,4,2,Some lunches are breaks,All lunches are foods,Some foods are breaks,NA,13472,Disamis,0,0,0,0
3_15,3,M1-cross,15,1,poets,Valid Filler,Dimatis,4,2,Some teachers are poets,All poets are writers ,Some writers are teachers,NA,6170,Dimatis,1,1,0,0
3_16,3,M1-cross,16,1,dolls,Valid Filler,Datisi,4,2,All dolls are man made,Some dolls are toys,Some toys are man made,NA,8314,Datisi,1,1,0,0
3_17,3,M1-cross,17,0,bat,Homonymy,Datisi,4,2,All bats are animals,Some bats are sporting goods,Some sporting goods are animals,NA,8748,Datisi,0,1,0,0
3_18,3,M1-cross,18,0,ruler,Homonymy,Darii,4,2,All rulers are standard lengths,Some queens are rulers,Some queens are standard lengths,NA,6995,Darii,0,1,0,0
3_19,3,M1-cross,19,0,Wave,Homonymy,Disamis,4,2,Some waves are gestures,All waves are liquids,Some liquids are gestures,NA,11137,Disamis,0,1,0,0
3_20,3,M1-cross,20,1,trucks,Valid Filler,Disamis,4,2,Some trucks are big rigs,All trucks are vehicles,Some vehicles are big rigs,NA,26097,Disamis,1,1,0,0
3_21,3,M1-cross,21,1,sausages,Invalid Filler,Dimatis*,4,2,Some pizza toppings are sausages,All chili dogs are sausages,Some chili dogs are pizza toppings,NA,13623,Dimatis,0,0,0,0
3_22,3,M1-cross,22,1,picnic,Polysemy,Dimatis,4,2,Some summertime activities are picnics,All picnics are prepared foods,Some prepared foods are summertime activities,NA,8104,Dimatis,0,0,0,0
3_23,3,M1-cross,23,1,doughnuts,Valid Filler,Datisi,4,2,All doughnuts are sugary ,Some doughnuts are treats,Some treats are sugary,NA,9746,Datisi,1,1,0,0
3_24,3,M1-cross,24,1,suitcases,Valid Filler,Disamis,4,2,Some suitcases are bags,All suitcases are pieces of luggage,Some pieces of luggage are bags,NA,8622,Disamis,1,1,0,0
3_25,3,M1-cross,25,0,toilets,Invalid Filler,Darii*,4,2,All urinals are toilets,Some seats are toilets,Some seats are urinals,NA,10631,Darii,0,1,0,0
3_26,3,M1-cross,26,1,company,Polysemy,Disamis,4,2,Some companies are in city centers,All companies are hierarchies,Some hierarchies are in city centers,NA,9045,Disamis,0,0,0,0
3_27,3,M1-cross,27,1,letter,Polysemy,Dimatis,4,2,Some papers are letters,All letters are communications,Some communications are papers,NA,6989,Dimatis,0,0,0,0
3_28,3,M1-cross,28,1,liars,Valid Filler,Disamis,4,2,Some liars are criminals,All liars are humans,Some humans are criminals ,NA,13632,Disamis,1,1,0,0
3_29,3,M1-cross,29,1,change,Homonymy,Datisi,4,2,All change is money,Some change is transformation,Some transformation is money,NA,19843,Datisi,0,0,0,0
3_30,3,M1-cross,30,1,antiques,Invalid Filler,Datisi*,4,2,All medieval manuscripts are antiques ,Some antiques are pieces of jewelry,Some pieces of jewelry are medieval manuscripts,NA,20020,Datisi,0,0,0,0
3_31,3,M1-cross,31,1,ponies,Valid Filler,Dimatis,4,2,Some thoroughbreds are ponies,All ponies are neighing animals,Some neighing animals are thoroughbreds,NA,15023,Dimatis,1,1,0,0
3_32,3,M1-cross,32,0,actors,Invalid Filler,Dimatis*,4,2,Some women are actors,All male leads are actors,Some male leads are women,NA,12357,Dimatis,0,1,0,0
3_33,3,M1-cross,33,1,grapes,Valid Filler,Darii,4,2,All grapes are fruits ,Some snacks are grapes,Some snacks are fruits,NA,10823,Darii,1,1,0,0
3_34,3,M1-cross,34,1,shapes,Invalid Filler,Darii*,4,2,All cylinders are shapes,Some road signs are shapes,Some road signs are cylinders,NA,10459,Darii,0,0,0,0
3_35,3,M1-cross,35,1,burgers,Valid Filler,Darii,4,2,All burgers have protein,Some entrées are burgers,Some entrées have protein,NA,6512,Darii,1,1,0,0
3_36,3,M1-cross,36,1,widows,Valid Filler,Disamis,4,2,Some widows are parents,All widows are women,Some women are parents,NA,12991,Disamis,1,1,0,0
3_37,3,M1-cross,37,0,star,Homonymy,Dimatis,4,2,Some celestial objects are stars,All stars are famous people,Some famous people are celestial objects,NA,9550,Dimatis,0,1,0,0
3_38,3,M1-cross,38,1,steaks,Invalid Filler,Darii*,4,2,All rotten ribeyes are steaks,Some delicious meals are steaks,Some delicoius meals are rotten ribeyes,NA,27260,Darii,0,0,0,0
3_39,3,M1-cross,39,1,swords,Valid Filler,Darii,4,2,All swords are weapons,Some sharp objects are swords,Some sharp objects are weapons,NA,7126,Darii,1,1,0,0
3_40,3,M1-cross,40,1,mugs,Valid Filler,Dimatis,4,2,Some ceramics are mugs,All mugs are cups ,Some cups are ceramics,NA,6854,Dimatis,1,1,0,0
3_41,3,M1-cross,41,1,magazines,Polysemy,Darii,4,2,All magazines are recyclable,Some media corporations are magazines,Some media corporations are recyclable,NA,17671,Darii,0,0,0,0
3_42,3,M1-cross,42,1,rifles,Valid Filler,Darii,4,2,All rifles are guns,Some safety hazards are rifles,Some safety hazards are guns,NA,13671,Darii,1,1,0,0
3_43,3,M1-cross,43,0,rock,Homonymy,Dimatis,4,2,Some marble is rock,All rock is music,Some music is marble,NA,6878,Dimatis,0,1,0,0
3_44,3,M1-cross,44,0,ring,Homonymy,Datisi,4,2,All rings are sounds,Some rings are accessories,Some accessories are sounds,NA,10532,Datisi,0,1,0,0
3_45,3,M1-cross,45,1,colors,Invalid Filler,Darii*,4,2,Some pastels are colors,All shades of neon green are colors ,Some shades of neon green are pastels,NA,7282,Darii,0,0,0,0
3_46,3,M1-cross,46,0,novel,Polysemy,Datisi,4,2,All novels are flammable,Some novels are debuts,Some debuts are flammable,NA,11072,Datisi,0,1,0,0
3_47,3,M1-cross,47,1,singers,Valid Filler,Datisi,4,2,All singers are performers,Some singers are men,Some men are performers,NA,7594,Datisi,1,1,0,0
