SubjTrial,SubjectID,ExpNum,ItemNum,PremiseNum,Response,MiddleTerm1,MiddleTerm2,relationtype,TrialType,Syllogism,ListNum,OrderNum,premise1,premise2,conclusion,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_49,1,N6-p-M3,49,answer-P2,1,liars,liars,*,Valid Filler,Dimatis,1,1,Some criminals are liars ,All liars are humans,Some humans are criminals ,NA,14636,Dimatis,1,1,0,0
1_50,1,N6-p-M3,50,answer-P1,0,actors,actors,*,Invalid Filler,Datisi*,1,1,All male leads are actors,Some actors are women,Some women are male leads,NA,24450,Datisi,0,1,0,0
1_50,1,N6-p-M3,50,answer-P2,1,actors,actors,*,Invalid Filler,Datisi*,1,1,All male leads are actors,Some actors are women,Some women are male leads,NA,24450,Datisi,0,0,0,0
1_51,1,N6-p-M3,51,answer-P1,1,funerals,funerals,*,Invalid Filler,Datisi*,1,1,All open-casket services are funerals,Some funerals are anonymous burials,Some anonymous burials are open-casket services,NA,12031,Datisi,0,0,0,0
1_51,1,N6-p-M3,51,answer-P2,1,funerals,funerals,*,Invalid Filler,Datisi*,1,1,All open-casket services are funerals,Some funerals are anonymous burials,Some anonymous burials are open-casket services,NA,12031,Datisi,0,0,0,0
1_52,1,N6-p-M3,52,answer-P1,1,thieves,thieves,*,Invalid Filler,Dimatis*,1,1,Some children are thieves,All mob bosses are thieves,Some mob bosses are children,NA,35600,Dimatis,0,0,0,0
1_52,1,N6-p-M3,52,answer-P2,0,thieves,thieves,*,Invalid Filler,Dimatis*,1,1,Some children are thieves,All mob bosses are thieves,Some mob bosses are children,NA,35600,Dimatis,0,1,0,0
1_53,1,N6-p-M3,53,answer-P1,0,journal,hamburger,*,Unrelated,Darii,1,1,All journals are made of paper,Some entrées are hamburgers,Some entrées are made of paper,NA,13675,Darii,0,1,0,0
1_53,1,N6-p-M3,53,answer-P2,1,journal,hamburger,*,Unrelated,Darii,1,1,All journals are made of paper,Some entrées are hamburgers,Some entrées are made of paper,NA,13675,Darii,0,0,0,0
1_54,1,N6-p-M3,54,answer-P1,1,burgers,burgers,*,Valid Filler,Disamis,1,1,Some burgers are overcooked ,All burgers are sandwiches,Some sandwiches are overcooked ,NA,10493,Disamis,1,1,0,0
1_54,1,N6-p-M3,54,answer-P2,1,burgers,burgers,*,Valid Filler,Disamis,1,1,Some burgers are overcooked ,All burgers are sandwiches,Some sandwiches are overcooked ,NA,10493,Disamis,1,1,0,0
1_55,1,N6-p-M3,55,answer-P1,1,tortoise,syrup,*,Unrelated,Darii,1,1,All tortoises are animals,Some ice cream toppings are syrups,Some ice cream toppings are animals,NA,10641,Darii,0,0,0,0
1_55,1,N6-p-M3,55,answer-P2,1,tortoise,syrup,*,Unrelated,Darii,1,1,All tortoises are animals,Some ice cream toppings are syrups,Some ice cream toppings are animals,NA,10641,Darii,0,0,0,0
1_56,1,N6-p-M3,56,answer-P1,1,ambulance,emergency,script,Related,Darii,1,1,All ambulances are vehicles,Some wildfires are emergencies,Some wildfires are vehicles,NA,13384,Darii,0,0,0,0
1_56,1,N6-p-M3,56,answer-P2,1,ambulance,emergency,script,Related,Darii,1,1,All ambulances are vehicles,Some wildfires are emergencies,Some wildfires are vehicles,NA,13384,Darii,0,0,0,0
2_1,2,N6-p-M3,1,answer-P1,1,thunder,lightning,category,Related,Dimatis,1,1,Some rumbling is thunder,All lightning is bright light,Some bright light is rumbling,NA,15511,Dimatis,0,0,0,0
2_1,2,N6-p-M3,1,answer-P2,1,thunder,lightning,category,Related,Dimatis,1,1,Some rumbling is thunder,All lightning is bright light,Some bright light is rumbling,NA,15511,Dimatis,0,0,0,0
2_2,2,N6-p-M3,2,answer-P1,0,sock,shoe,category,Related,Datisi,1,1,All socks are elastic,Some shoes are high heels,Some high heels are elastic,NA,9974,Datisi,0,1,0,0
2_2,2,N6-p-M3,2,answer-P2,1,sock,shoe,category,Related,Datisi,1,1,All socks are elastic,Some shoes are high heels,Some high heels are elastic,NA,9974,Datisi,0,0,0,0
2_3,2,N6-p-M3,3,answer-P1,1,shapes,shapes,*,Invalid Filler,Disamis*,1,1,Some shapes are triangles,All squares are shapes,Some squares are triangles,NA,11472,Disamis,0,0,0,0
2_3,2,N6-p-M3,3,answer-P2,1,shapes,shapes,*,Invalid Filler,Disamis*,1,1,Some shapes are triangles,All squares are shapes,Some squares are triangles,NA,11472,Disamis,0,0,0,0
2_4,2,N6-p-M3,4,answer-P1,1,widows,widows,*,Valid Filler,Dimatis,1,1,Some parents are widows ,All widows are women,Some women are parents,NA,11639,Dimatis,1,1,0,0
2_4,2,N6-p-M3,4,answer-P2,0,widows,widows,*,Valid Filler,Dimatis,1,1,Some parents are widows ,All widows are women,Some women are parents,NA,11639,Dimatis,1,0,0,0
2_5,2,N6-p-M3,5,answer-P1,1,sack,clam,*,Unrelated,Dimatis,1,1,Some bags are sacks ,All clams are sea creatures,Some sea creatures are bags,NA,11560,Dimatis,0,0,0,0
2_5,2,N6-p-M3,5,answer-P2,1,sack,clam,*,Unrelated,Dimatis,1,1,Some bags are sacks ,All clams are sea creatures,Some sea creatures are bags,NA,11560,Dimatis,0,0,0,0
2_6,2,N6-p-M3,6,answer-P1,1,throne ,king,script,Related,Dimatis,1,1,Some seats are thrones,All kings are rulers,Some rulers are seats,NA,8783,Dimatis,0,0,0,0
2_6,2,N6-p-M3,6,answer-P2,0,throne ,king,script,Related,Dimatis,1,1,Some seats are thrones,All kings are rulers,Some rulers are seats,NA,8783,Dimatis,0,1,0,0
